Employee ID,KNIME,R,Python,SAS,Tableau,PowerBI,Java,Ruby,Go,C++,HTML,JavaScript,PHP,Spark,AWS,Azure,GCP,Machine Learning,Deep Learning,Image Processing,Email writing,Spanish,German,French,English,Hindi,Arabic,Qlik,MSTR,ETL,Snowflakes,JIRA,Git,Confluence,Android Studio,Angular
AB14693,4,4,3,5,2,4,5,3,2,4,3,3,5,1,3,3,2,1,2,4,4,3,1,5,5,1,1,1,4,4,2,4,5,5,2,5
AB11010,3,2,4,2,4,1,2,1,2,5,3,5,1,5,4,3,3,1,3,4,5,5,4,3,1,2,1,5,4,2,3,2,2,5,5,1
AB19634,2,2,1,3,3,4,4,2,2,2,1,5,1,3,1,4,5,4,1,3,4,3,2,4,2,1,4,4,3,2,2,3,1,3,3,5
AB23462,2,1,2,4,5,5,2,3,1,3,5,2,2,2,5,5,2,4,4,4,3,2,5,4,3,3,1,3,4,4,4,5,2,1,3,2
AB28769,5,4,3,3,5,5,1,1,3,3,4,4,4,4,1,4,3,4,4,2,1,5,4,5,4,4,2,3,4,3,1,3,3,3,1,5
AB17336,5,1,5,2,3,3,2,4,1,3,5,3,1,5,5,1,4,1,3,5,4,2,4,3,1,2,4,5,5,2,3,3,5,4,3,2
AB6516,2,2,3,2,2,3,3,2,5,5,5,2,1,4,1,5,5,3,1,2,1,3,3,5,1,2,5,1,1,2,4,3,5,4,5,4
AB16384,2,1,5,1,5,1,2,3,3,1,4,3,2,3,5,5,2,3,2,5,3,4,1,3,1,5,5,1,1,5,3,5,4,4,5,4
AB17606,4,5,2,5,3,4,5,4,3,4,2,1,3,2,1,4,3,4,1,4,4,5,2,1,5,3,5,3,2,2,4,2,4,1,3,2
AB22731,1,4,3,5,1,2,1,2,4,5,3,4,4,2,4,1,3,4,4,1,3,3,1,5,1,5,4,1,2,1,3,4,5,2,1,1
AB21750,5,4,5,1,5,3,2,4,1,2,4,5,4,1,1,5,4,4,1,2,1,5,5,2,3,5,1,3,4,1,1,4,2,5,1,3
AB25529,5,1,3,5,2,2,4,3,1,2,3,3,4,2,1,4,5,5,2,1,3,5,3,1,4,3,2,3,1,1,5,4,5,4,5,2
AB21864,4,5,4,4,1,4,2,4,1,4,3,5,5,5,3,4,5,1,4,5,5,5,2,3,3,1,4,4,3,4,1,5,4,4,3,1
AB8037,2,5,5,2,5,2,4,1,1,4,4,3,1,5,5,4,4,4,2,5,4,3,1,1,4,5,1,2,1,3,1,1,2,2,2,4
AB2064,5,3,2,5,4,5,4,4,5,3,5,3,2,4,2,3,4,5,4,3,5,3,1,3,1,3,1,5,5,5,5,2,5,5,1,4
AB3256,3,3,2,5,3,5,1,1,2,2,3,5,3,5,5,4,1,5,4,3,1,5,2,2,3,5,4,1,3,4,5,4,5,3,1,1
AB19965,3,1,3,5,4,4,3,1,1,1,1,4,5,1,3,2,3,4,3,2,2,4,1,4,3,1,3,1,5,4,1,4,1,4,3,2
AB7389,1,1,3,3,4,3,3,3,5,5,4,5,3,3,4,5,4,3,3,3,5,4,4,1,4,2,3,2,4,4,2,4,2,5,1,1
AB11827,5,1,4,4,2,2,3,1,5,4,4,5,2,2,3,1,1,1,4,3,3,2,1,3,3,4,5,2,1,3,3,1,2,1,5,2
AB16517,2,3,2,3,3,4,2,5,2,4,5,2,2,3,1,3,5,5,1,3,5,5,5,2,4,3,2,3,2,4,3,1,1,2,3,5
AB21830,1,5,4,2,2,1,3,5,3,4,2,5,4,1,2,5,4,5,1,4,3,5,3,2,4,5,1,1,5,3,2,5,2,1,2,2
AB25519,3,5,3,5,2,5,1,5,3,4,5,5,5,2,5,3,3,4,2,2,4,5,1,5,1,4,4,2,4,1,1,2,1,5,3,2
AB10352,3,1,4,3,4,4,3,3,5,2,2,2,3,1,1,5,5,1,1,2,1,3,4,1,3,2,5,5,3,5,3,3,2,5,4,3
AB3253,4,1,1,3,3,2,4,2,5,3,2,5,1,3,3,5,4,4,3,5,3,2,2,3,2,2,3,4,4,5,3,2,1,2,4,2
AB26861,1,5,3,4,5,3,5,4,5,1,1,1,3,4,2,5,2,4,2,2,3,5,1,1,4,5,3,5,5,3,1,5,1,5,2,5
AB23540,1,5,4,1,1,5,2,1,1,5,4,5,2,1,4,4,5,1,2,4,3,5,3,4,4,3,5,5,3,5,1,3,5,2,1,1
AB24201,3,5,3,1,5,1,2,5,2,3,5,2,3,4,2,2,3,3,1,2,2,1,4,2,2,2,1,4,3,4,3,4,3,3,5,2
AB14436,1,4,2,3,4,3,2,3,4,4,2,5,2,4,4,1,3,3,2,5,3,1,1,3,5,4,3,1,5,1,3,2,5,4,1,3
AB13823,5,3,2,3,3,1,1,2,4,5,1,5,2,2,4,1,4,1,5,5,3,2,5,5,3,5,1,1,3,1,5,1,3,1,3,2
AB28258,1,5,1,2,3,3,3,4,2,3,4,4,4,1,2,5,3,2,4,3,4,1,1,5,2,1,1,3,5,1,3,3,2,4,3,3
AB8576,5,1,5,5,5,5,2,4,3,4,2,3,5,1,1,3,2,4,1,4,4,1,2,5,2,4,3,2,2,4,5,4,5,4,5,5
AB28408,2,3,4,2,1,5,4,5,4,1,1,2,4,4,2,2,4,3,5,5,5,1,3,4,5,5,5,1,1,3,3,1,1,2,3,1
AB4495,5,5,1,1,1,4,1,1,4,5,5,1,5,3,2,3,1,2,5,1,2,1,1,2,2,4,3,1,5,5,3,4,4,5,4,4
AB12054,4,5,4,2,5,5,4,1,3,5,1,5,4,1,2,1,3,4,5,4,3,4,2,1,3,2,5,4,2,3,2,2,2,2,1,3
AB9694,4,3,4,1,2,3,1,1,1,5,5,3,4,4,2,4,2,4,4,5,2,1,3,3,4,5,2,5,4,2,2,1,5,1,3,2
AB28165,2,1,1,5,4,2,1,4,5,1,1,1,3,2,3,3,2,1,5,5,3,3,1,4,4,1,1,3,3,3,5,2,3,3,4,3
AB3188,4,1,4,3,2,4,3,2,5,4,2,2,5,3,5,2,3,5,3,5,1,3,3,1,5,3,1,4,4,2,4,2,4,3,4,3
AB28238,3,1,4,4,5,4,5,1,5,4,3,1,3,5,3,2,3,4,3,1,2,2,2,4,3,2,2,3,1,5,5,1,4,5,3,5
AB16392,4,3,4,4,4,2,4,5,5,3,1,1,5,5,5,5,1,5,5,3,1,5,4,4,2,2,1,4,1,1,4,4,2,1,4,1
AB8077,5,2,4,2,5,4,2,4,5,5,5,3,1,2,2,2,3,2,4,2,2,4,5,3,5,2,2,5,2,2,2,1,3,3,3,1
AB16192,2,3,4,4,1,3,3,3,3,5,2,2,1,2,1,2,1,2,1,5,2,2,1,4,2,4,3,5,4,5,5,2,3,2,1,3
AB9338,5,4,2,3,5,4,1,4,4,2,5,2,2,1,3,2,1,2,2,4,4,2,3,1,5,5,1,3,1,1,3,5,4,5,1,1
AB10960,4,2,1,2,5,2,1,2,3,1,1,1,5,1,5,5,2,5,5,3,1,4,5,2,3,5,3,4,2,5,2,4,1,3,5,5
AB9576,5,3,4,3,4,4,3,4,1,4,5,1,4,2,4,1,5,5,5,1,1,3,2,4,4,2,4,2,5,5,5,4,3,2,1,3
AB8865,3,1,2,3,2,4,5,5,4,1,3,4,3,5,4,5,3,1,1,2,1,2,2,2,5,4,3,1,3,4,2,3,3,3,2,4
AB25381,5,5,4,5,1,5,5,4,4,5,2,3,3,5,2,4,2,5,1,3,1,3,2,2,5,5,1,2,5,5,3,5,2,2,1,4
AB1089,3,4,1,2,2,5,3,3,1,4,1,1,3,4,5,2,4,4,4,2,3,2,3,2,3,4,3,3,5,1,3,3,4,5,5,1
AB24202,3,4,2,3,1,1,5,1,3,5,4,5,4,5,3,4,3,1,3,5,4,5,4,3,2,5,4,3,1,1,4,3,4,4,1,1
AB17986,1,2,2,5,1,1,4,1,1,2,2,1,3,5,1,3,5,3,5,4,4,1,2,5,5,2,3,5,2,3,5,5,5,3,4,1
AB20266,4,3,3,2,5,4,5,3,2,5,2,1,5,5,2,1,5,2,5,4,2,3,4,2,1,2,5,4,4,2,1,5,2,4,5,5
AB13867,3,4,3,1,1,5,4,5,2,2,4,2,5,5,4,5,3,3,4,3,3,4,1,2,3,4,4,4,1,1,1,1,2,1,4,3
AB29745,5,4,1,3,2,4,1,1,5,1,3,5,1,4,3,3,4,3,3,4,3,2,3,5,2,2,4,3,3,2,3,2,4,1,2,2
AB24106,5,3,4,3,1,5,5,1,4,2,3,4,2,3,2,3,5,5,5,2,2,2,4,5,1,2,4,4,3,5,2,5,2,2,4,5
AB4785,2,2,3,2,5,1,4,3,4,3,1,1,4,1,3,4,2,5,2,2,2,2,2,3,2,2,2,4,4,4,4,1,5,3,2,4
AB10135,1,4,3,1,1,2,2,1,1,4,2,1,3,2,3,3,5,5,4,1,5,4,3,2,2,5,3,5,3,2,1,4,2,3,5,3
AB16457,3,5,2,4,3,4,1,1,3,1,5,2,3,4,1,5,5,5,2,3,2,5,2,3,5,3,5,1,4,2,1,1,4,3,4,4
AB25358,2,3,3,4,2,4,1,4,5,2,3,2,5,3,4,3,3,3,1,1,1,1,4,1,2,4,3,2,3,4,4,4,2,4,3,3
AB12921,4,5,4,5,1,4,5,5,5,4,2,2,1,3,5,4,4,5,3,2,5,5,3,3,4,1,4,1,5,4,2,1,5,4,3,5
AB16351,1,5,2,4,1,5,1,2,5,2,3,3,2,5,3,4,2,1,4,2,3,1,3,3,1,3,2,4,5,5,5,5,5,5,4,4
AB13468,2,1,2,5,5,3,1,4,2,1,2,5,4,1,3,3,2,2,2,3,3,5,3,1,3,3,5,5,5,2,2,1,4,3,4,2
AB5957,2,1,5,4,5,2,4,5,5,4,3,5,5,4,1,4,2,2,2,3,1,4,3,1,3,1,3,2,1,1,3,3,5,1,4,3
AB21874,3,5,1,2,1,4,5,2,2,2,5,5,2,2,4,5,2,1,1,4,5,4,5,4,1,5,2,5,3,1,1,5,2,2,1,2
AB26730,3,3,1,5,2,1,4,1,3,5,5,3,5,2,3,1,1,2,5,1,3,2,3,2,4,4,1,3,3,3,2,5,4,5,5,5
AB7466,4,2,2,5,4,3,2,4,2,1,1,5,1,5,1,5,2,1,1,2,2,2,5,3,3,2,4,1,5,1,3,4,3,2,4,2
